year,states,states_code,id,population
2010,Alabama,AL,01,4785437
2010,Alaska,AK,02,713910
2010,Arizona,AZ,04,6407172
2010,Arkansas,AR,05,2921964
2010,California,CA,06,37319502
2010,Colorado,CO,08,5047349
2010,Connecticut,CT,09,3579114
2010,Delaware,DE,10,899593
2010,Florida,FL,12,18845537
2010,Georgia,GA,13,9711881
2010,Hawaii,HI,15,1363963
2010,Idaho,ID,16,1570746
2010,Illinois,IL,17,12840503
2010,Indiana,IN,18,6490432
2010,Iowa,IA,19,3050745
2010,Kansas,KS,20,2858190
2010,Kentucky,KY,21,4348181
2010,Louisiana,LA,22,4544532
2010,Maine,ME,23,1327379
2010,Maryland,MD,24,5788645
2010,Massachusetts,MA,25,6566307
2010,Michigan,MI,26,9877510
2010,Minnesota,MN,27,5310828
2010,Mississippi,MS,28,2970548
2010,Missouri,MO,29,5995974
2010,Montana,MT,30,990507
2010,Nebraska,NE,31,1829542
2010,Nevada,NV,32,2702405
2010,New Hampshire,NH,33,1316762
2010,New Jersey,NJ,34,8799446
2010,New Mexico,NM,35,2064552
2010,New York,NY,36,19399878
2010,North Carolina,NC,37,9574586
2010,North Dakota,ND,38,674715
2010,Ohio,OH,39,11539336
2010,Oklahoma,OK,40,3759944
2010,Oregon,OR,41,3837491
2010,Pennsylvania,PA,42,12711160
2010,Rhode Island,RI,44,1053938
2010,South Carolina,SC,45,4635649
2010,South Dakota,SD,46,816166
2010,Tennessee,TN,47,6355311
2010,Texas,TX,48,25241971
2010,Utah,UT,49,2775332
2010,Vermont,VT,50,625879
2010,Virginia,VA,51,8023699
2010,Washington,WA,53,6742830
2010,West Virginia,WV,54,1854239
2010,Wisconsin,WI,55,5690475
2010,Wyoming,WY,56,564483
2011,Alabama,AL,01,4801627
2011,Alaska,AK,02,722259
2011,Arizona,AZ,04,6468732
2011,Arkansas,AR,05,2940667
2011,California,CA,06,37638369
2011,Colorado,CO,08,5120230
2011,Connecticut,CT,09,3588632
2011,Delaware,DE,10,907985
2011,Florida,FL,12,19097369
2011,Georgia,GA,13,9812197
2011,Hawaii,HI,15,1379329
2011,Idaho,ID,16,1583828
2011,Illinois,IL,17,12867529
2011,Indiana,IN,18,6516582
2011,Iowa,IA,19,3065223
2011,Kansas,KS,20,2869965
2011,Kentucky,KY,21,4370039
2011,Louisiana,LA,22,4575972
2011,Maine,ME,23,1328267
2011,Maryland,MD,24,5843115
2011,Massachusetts,MA,25,6611797
2011,Michigan,MI,26,9882412
2011,Minnesota,MN,27,5346620
2011,Mississippi,MS,28,2978731
2011,Missouri,MO,29,6010688
2011,Montana,MT,30,997667
2011,Nebraska,NE,31,1840914
2011,Nevada,NV,32,2712730
2011,New Hampshire,NH,33,1320444
2011,New Jersey,NJ,34,8828552
2011,New Mexico,NM,35,2080450
2011,New York,NY,36,19499925
2011,North Carolina,NC,37,9651505
2011,North Dakota,ND,38,685429
2011,Ohio,OH,39,11544663
2011,Oklahoma,OK,40,3784841
2011,Oregon,OR,41,3872036
2011,Pennsylvania,PA,42,12744300
2011,Rhode Island,RI,44,1052844
2011,South Carolina,SC,45,4673649
2011,South Dakota,SD,46,823154
2011,Tennessee,TN,47,6398862
2011,Texas,TX,48,25644424
2011,Utah,UT,49,2815430
2011,Vermont,VT,50,627049
2011,Virginia,VA,51,8102437
2011,Washington,WA,53,6826627
2011,West Virginia,WV,54,1855413
2011,Wisconsin,WI,55,5708592
2011,Wyoming,WY,56,567299
